Organization,Partner Type,Region,Website,Source URL,Status
South East Texas Economic Development District,economic_development_strategic_partner,Houston,http://www.setrpc.org/index.php,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
South Plains Association of Governments,economic_development_strategic_partner,Other Texas,http://www.spag.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
South Texas Development Council,economic_development_strategic_partner,South Texas,http://www.stdc.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Texoma Council of Governments,economic_development_strategic_partner,DFW,http://www.texoma.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
West Central Texas Economic Development District,economic_development_strategic_partner,Other Texas,http://www.wctcog.org/wctcog/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Brownsville Community Improvement Corporation,economic_development_strategic_partner,South Texas,https://brownsvilleedc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
LiftFund Inc,economic_development_strategic_partner,Other Texas,https://www.liftfund.com/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
PeopleFund Inc,economic_development_strategic_partner,Other Texas,https://www.peoplefund.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Tyler Economic Development Council,economic_development_strategic_partner,East Texas,https://www.tylertexas.com/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Atascosa County Economic Development,economic_development_strategic_partner,San Antonio,https://atascosameansbusiness.com/,https://greatersatx.com/,research
Bexar County Economic and Community Development,economic_development_strategic_partner,San Antonio,https://www.bexar.org/682/Economic-Community-Development,https://greatersatx.com/,research
Live Oak Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.liveoaktx.net/departments/economic-development-corporation,https://greatersatx.com/,research
Selma Economic Development,economic_development_strategic_partner,San Antonio,https://www.ci.selma.tx.us/143/Economic-Development,https://greatersatx.com/,research
Universal City Economic Development,economic_development_strategic_partner,San Antonio,https://www.universalcitytexas.gov/441/Economic-Development,https://greatersatx.com/,research
Windcrest Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://windcrest-txedc.com/,https://greatersatx.com/,research
Cibolo Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.cibolotx.gov/edc/about/cibolo_economic_development_corporation/index.php,https://greatersatx.com/,research
Schertz Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://schertzedc.com/,https://greatersatx.com/,research
Seguin Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.seguinedc.com/,https://greatersatx.com/,research
Boerne Kendall County Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://bkcedc.com/,https://greatersatx.com/,research
Kerr Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://kerredc.com/,https://greatersatx.com/,research
Castroville Economic Development,economic_development_strategic_partner,San Antonio,https://www.castrovilletx.gov/2491/Economic-Development,https://greatersatx.com/,research
Hondo Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.hondo-tx.org/244/Economic-Development-EDC,https://greatersatx.com/,research
Medina County Economic Development,economic_development_strategic_partner,San Antonio,https://www.gomedinacounty.com/,https://greatersatx.com/,research
Clear Lake Shores Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.clearlakeshores-tx.gov/191/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,research
City of Deer Park,economic_development_strategic_partner,Houston,https://deerparktx.gov/,https://bayareahouston.com/member-cities/,research
Dickinson Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.dickinsonedc.com,https://bayareahouston.com/member-cities/,research
Friendswood Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.ci.friendswood.tx.us/459/Economic-Development,https://bayareahouston.com/member-cities/,research
Kemah Community Development Corporation,economic_development_strategic_partner,Houston,https://www.kemahtx.gov/155/Kemah-Community-Development-Corporation,https://bayareahouston.com/member-cities/,research
La Marque Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.cityoflamarque.gov/289/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,research
League City Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.leaguecityedc.com/,https://bayareahouston.com/member-cities/,research
Nassau Bay Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.nassaubay.com/185/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,research
Pasadena Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.pasadenaedc.com/,https://bayareahouston.com/member-cities/,research
Santa Fe Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.santafetx.gov/economic/page/santa-fe-edc,https://bayareahouston.com/member-cities/,research
Seabrook Economic Development Corporation,economic_development_strategic_partner,Houston,http://seabrooktx.gov/162/SEDC,https://bayareahouston.com/member-cities/,research
Texas City Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.texascityedc.com,https://bayareahouston.com/member-cities/,research
Webster Economic Development Corporation,economic_development_strategic_partner,Houston,https://cityofwebster.com/353/Economic-Development,https://bayareahouston.com/member-cities/,research
Rice University,economic_development_strategic_partner,Houston,https://www.rice.edu/,https://bayareahouston.com/academic-partners-2/,research
San Jacinto College,economic_development_strategic_partner,Houston,https://www.sanjac.edu/,https://bayareahouston.com/academic-partners-2/,research
University of Houston Clear Lake,economic_development_strategic_partner,Houston,https://www.uhcl.edu/,https://bayareahouston.com/academic-partners-2/,research
University of Houston,economic_development_strategic_partner,Houston,https://www.uh.edu/,https://bayareahouston.com/academic-partners-2/,research
Texas A&M University at Galveston,economic_development_strategic_partner,Houston,https://www.tamug.edu/,https://bayareahouston.com/academic-partners-2/,research
College of the Mainland,economic_development_strategic_partner,Houston,https://www.com.edu/index.html,https://bayareahouston.com/academic-partners-2/,research
Alvin Community College,economic_development_strategic_partner,Houston,https://www.alvincollege.edu/,https://bayareahouston.com/academic-partners-2/,research
Fort Worth Economic Development Partnership,economic_development_strategic_partner,DFW,https://fortworthedp.com/,https://fortworthedp.com/,research
City of Dallas Office of Economic Development,economic_development_strategic_partner,DFW,https://www.dallasecodev.org/,https://www.dallasecodev.org/,research
Greater Houston Partnership,economic_development_strategic_partner,Houston,https://houston.org/,https://houston.org/,research
Bay Area Houston Economic Partnership,economic_development_strategic_partner,Houston,https://bayareahouston.com/,https://bayareahouston.com/,research
Partnership Lake Houston,economic_development_strategic_partner,Houston,https://lakehouston.org/,https://lakehouston.org/,research
City of Houston Mayor's Office of Economic Development,economic_development_strategic_partner,Houston,https://www.houstontx.gov/ecodev/,https://www.houstontx.gov/ecodev/,research
Opportunity Austin,economic_development_strategic_partner,Austin,https://opportunityaustin.com/,https://opportunityaustin.com/economic-development/,research
City of Austin Economic Development,economic_development_strategic_partner,Austin,https://www.austintexas.gov/economic-development,https://www.austintexas.gov/economic-development,research
Texas Economic Development Corporation,economic_development_strategic_partner,Other Texas,https://businessintexas.com/,https://businessintexas.com/,research
Texas Economic Development and Tourism Office,economic_development_strategic_partner,Other Texas,https://gov.texas.gov/business,https://gov.texas.gov/business/page/transportation-logistics,research
City of Fort Worth Economic Development,economic_development_strategic_partner,DFW,https://www.fortworthtexas.gov/departments/econdev,https://www.fortworthtexas.gov/departments/econdev,research
Central Houston,economic_development_strategic_partner,Houston,https://www.centralhouston.org/,https://www.houstontx.gov/ecodev/,research
Harris County Economic Development,economic_development_strategic_partner,Houston,https://hcoed.harriscountytx.gov/,https://www.houstontx.gov/ecodev/,research
