Program Name,Sponsor,Mechanism Type,Government Level,Texas Region,Industry Focus,Program URL,Source URL,Source Label,Research Date
Austin Energy Commercial Demand Response,Austin Energy,rebate,utility,Austin,energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Commercial Kitchen Equipment,Austin Energy,rebate,utility,Austin,energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Cooling Towers,Austin Energy,rebate,utility,Austin,energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Custom Technologies,Austin Energy,rebate,utility,Austin,energy efficiency process improvements,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy EC Motor Rebates,Austin Energy,rebate,utility,Austin,energy efficiency motors,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy EV Charger Rebate,Austin Energy,rebate,utility,Austin,electrification,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Energy Recovery Ventilators,Austin Energy,rebate,utility,Austin,energy efficiency HVAC,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Guest Room Controllers,Austin Energy,rebate,utility,Austin,energy efficiency controls,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy HVAC Replacement,Austin Energy,rebate,utility,Austin,energy efficiency HVAC,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy HVAC Tune-Up,Austin Energy,rebate,utility,Austin,energy efficiency HVAC,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Heat Pump Water Heaters,Austin Energy,rebate,utility,Austin,energy efficiency HVAC,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy High Efficiency Lighting and Controls,Austin Energy,rebate,utility,Austin,energy efficiency lighting,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Incentives for Solar Systems,Austin Energy,rebate,utility,Austin,energy efficiency solar,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy New Construction Lighting,Austin Energy,rebate,utility,Austin,energy efficiency construction,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy New Construction Rebates,Austin Energy,rebate,utility,Austin,energy efficiency construction,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Power Partner Thermostats,Austin Energy,rebate,utility,Austin,energy efficiency demand response,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Reflective Roof Coating,Austin Energy,rebate,utility,Austin,energy efficiency building envelope,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Small Business Bundle,Austin Energy,rebate,utility,Austin,small business energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial/sb-bundle,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Solar Standard Offer Program,Austin Energy,rebate,utility,Austin,solar energy,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Thermal Energy Storage,Austin Energy,rebate,utility,Austin,energy efficiency thermal storage,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Uninterruptible Power Supplies,Austin Energy,rebate,utility,Austin,energy efficiency backup power,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Value of Solar Bill Credit,Austin Energy,rebate,utility,Austin,solar energy,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Variable Frequency Drives,Austin Energy,rebate,utility,Austin,energy efficiency motors,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Window Treatments and Replacements,Austin Energy,rebate,utility,Austin,energy efficiency building envelope,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Oncor Basic Commercial Program,Oncor,rebate,utility,Oncor service area,commercial energy efficiency,https://www.oncor.com/content/oncorwww/talot/en/home/get-started/business/basic-commercial.html,https://www.oncor.com/content/oncorwww/talot/en/home/get-started/business/basic-commercial.html,Oncor Basic Commercial Program,2026-08-21
Oncor Commercial Standard Offer Program,Oncor,rebate,utility,Oncor service area,commercial energy efficiency,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,Oncor Commercial Provider Programs,2026-08-21
Oncor Load Management Program,Oncor,rebate,utility,Oncor service area,commercial demand management,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,Oncor Commercial Provider Programs,2026-08-21
Oncor Solar Photovoltaic Program,Oncor,rebate,utility,Oncor service area,commercial solar energy,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,https://www.oncor.com/content/oncorwww/us/en/home/partners/eepm-home/commercial-provider.html,Oncor Commercial Provider Programs,2026-08-21
CenterPoint Commercial High-Efficiency Foodservice Program,CenterPoint Energy,rebate,utility,Houston Electric service territory,commercial equipment energy efficiency,https://www.centerpointenergy.com/en-us/Services/Pages/Commercial-High-Efficiency-Foodservice-Program.aspx?sa=ho&au=res,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Load Management,CenterPoint Energy,rebate,utility,Houston Electric service territory,commercial demand management,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Load-Management-.aspx?sa=ho&au=bus,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint A/C Tune-up,CenterPoint Energy,rebate,utility,Houston Electric service territory,commercial energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/CoolSaver-AC-Tune-up.aspx?sa=ho&au=bus,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Data Center Energy Efficiency Program,CenterPoint Energy,rebate,utility,Houston Electric service territory,data center energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Data-Center.aspx?sa=ho&au=bus,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Healthcare Energy Efficiency Program,CenterPoint Energy,rebate,utility,Houston Electric service territory,healthcare energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Healthcare-Energy-Efficiency.aspx?sa=ho&au=bus,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Retro-Commissioning,CenterPoint Energy,technical_assistance,utility,Houston Electric service territory,facility energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Retro-Commissioning.aspx?sa=ho,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Schools and Non-Profit Efficiency Program,CenterPoint Energy,technical_assistance,utility,Houston Electric service territory,energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Schools-and-Non-Profit-Efficiency-Program.aspx?sa=ho,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CenterPoint Electric Equipment Incentives,CenterPoint Energy,rebate,utility,Houston Electric service territory,commercial equipment energy efficiency,https://www.centerpointenergy.com/en-us/SaveEnergyandMoney/Pages/Electric-Equipment-Incentives.aspx?sa=ho&au=res,https://www.centerpointenergy.com/en-us/business/save-energy-money/electric-efficiency-programs/business-efficiency-programs?sa=ho,CenterPoint Business Efficiency Programs,2026-08-21
CPS Energy Sustainable Tomorrow Energy Plan,CPS Energy,rebate,utility,San Antonio,commercial and industrial energy efficiency,https://www.cpsenergy.com/en/my-business/savenow/comm-rebate-services.html,https://www.cpsenergy.com/en/my-business/savenow/comm-rebate-services.html,CPS Energy Commercial Rebates & Services,2026-08-21
CPS Energy Commercial Demand Response,CPS Energy,rebate,utility,San Antonio,commercial demand management,https://www.cpsenergy.com/content/corporate/en/my-business/savenow/comm-dr.html?linkvar=footerlink,https://www.cpsenergy.com/en/my-business/savenow/comm-rebate-services.html,CPS Energy Commercial Rebates & Services,2026-08-21
Dallas Business Development Incentives,City of Dallas,economic_development_incentive,local,Dallas,job creation and capital investment,https://www.dallasecodev.org/599/Incentives,https://www.dallasecodev.org/599/Incentives,City of Dallas Economic Incentives Programs,2026-08-21
Dallas Community Development Loans and Grants,City of Dallas,grant,local,Dallas,community development,https://www.dallasecodev.org/599/Incentives,https://www.dallasecodev.org/599/Incentives,City of Dallas Economic Incentives Programs,2026-08-21
Dallas Real Estate Development Incentives,City of Dallas,economic_development_incentive,local,Dallas,real estate development,https://www.dallasecodev.org/599/Incentives,https://www.dallasecodev.org/599/Incentives,City of Dallas Economic Incentives Programs,2026-08-21
Dallas Small Business Assistance Program,City of Dallas,grant,local,Dallas,small business expansion,https://www.dallasecodev.org/599/Incentives,https://www.dallasecodev.org/599/Incentives,City of Dallas Economic Incentives Programs,2026-08-21
City of Houston Economic Development Grants,City of Houston,economic_development_incentive,local,Houston,economic development,https://www.houstontx.gov/ecodev/grants.html,https://www.houstontx.gov/ecodev/grants.html,City of Houston Economic Development Grants,2026-08-21
NSF SBIR/STTR Phase I,National Science Foundation,research_funding,federal,Texas eligible,technology commercialization,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
NSF SBIR/STTR Phase II,National Science Foundation,research_funding,federal,Texas eligible,technology commercialization,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
NSF SBIR/STTR Fast-Track,National Science Foundation,research_funding,federal,Texas eligible,technology commercialization,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
NSF SBIR/STTR Supplements,National Science Foundation,research_funding,federal,Texas eligible,technology commercialization,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
NIST Advanced Manufacturing NOFOs,National Institute of Standards and Technology,research_funding,federal,Texas eligible,advanced manufacturing,https://www.nist.gov/about-nist/funding-opportunities,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
EDA Funding Opportunities,Economic Development Administration,economic_development_incentive,federal,Texas eligible,economic development,https://www.eda.gov/funding/funding-opportunities/all-opportunities,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
MBDA Grants,Minority Business Development Agency,grant,federal,Texas eligible,business development,https://www.mbda.gov/grants,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
NTIA Telecommunications Grants,National Telecommunications and Information Administration,grant,federal,Texas eligible,digital infrastructure,https://www.ntia.doc.gov/category/grants,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
Market Development Cooperator Program,International Trade Administration,grant,federal,Texas eligible,manufacturing exports,https://www.trade.gov/mdcp,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
AMMTO Manufacturing Funding Opportunities,Department of Energy,research_funding,federal,Texas eligible,advanced manufacturing research and development,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Research on Circular Economy Smart Manufacturing and Energy-Efficient Microelectronics,Department of Energy,research_funding,federal,Texas eligible,circular economy smart manufacturing microelectronics,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE High-Performance Computing for Energy Innovation,Department of Energy,research_funding,federal,Texas eligible,high performance computing energy innovation,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Energy Efficiency Scaling for Two Decades Initiative,Department of Energy,other,federal,Texas eligible,energy efficiency scaling,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Early-Stage Research and Development on Critical Materials,Department of Energy,research_funding,federal,Texas eligible,critical materials research and development,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Community Energy Innovation Prize,Department of Energy,grant,federal,Texas eligible,community energy innovation,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Microbattery Design Prize,Department of Energy,grant,federal,Texas eligible,microbattery design,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Smart Manufacturing Technologies for Material and Process Innovation,Department of Energy,research_funding,federal,Texas eligible,smart manufacturing materials and process innovation,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Re-X Before Recycling Prize,Department of Energy,grant,federal,Texas eligible,recycling and advanced manufacturing,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Advance Domestic Manufacturing of Next Generation Batteries,Department of Energy,research_funding,federal,Texas eligible,advanced battery manufacturing,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Critical Materials Accelerator,Department of Energy,research_funding,federal,Texas eligible,critical materials commercialization,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Electronics Scrap Recycling Advancement Prize,Department of Energy,grant,federal,Texas eligible,electronics recycling and manufacturing,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Domestic Manufacturing of Next Generation Batteries,Department of Energy,research_funding,federal,Texas eligible,domestic battery manufacturing,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Critical Materials Accelerator Projects,Department of Energy,research_funding,federal,Texas eligible,critical materials project development,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,https://www.energy.gov/cmei/ammto/ammto-funding-opportunities,DOE AMMTO Funding Opportunities,2026-08-21
DOE Manufacturing Institute Workforce Development,Department of Energy,workforce_incentive,federal,Texas eligible,clean energy manufacturing workforce,https://www.energy.gov/cmei/ammto/manufacturing-institute-supplemental-education-and-workforce-development-program-funding,https://www.energy.gov/cmei/ammto/manufacturing-institute-supplemental-education-and-workforce-development-program-funding,DOE Manufacturing Institute Workforce Development Funding,2026-08-21
DOE Industrial Assessment Center Implementation Grant Program,Department of Energy,grant,federal,Texas eligible,small and medium manufacturer energy efficiency,https://www.energy.gov/articles/biden-harris-administration-announces-80-million-strengthen-american-manufacturing,https://www.energy.gov/articles/biden-harris-administration-announces-80-million-strengthen-american-manufacturing,DOE Industrial Assessment Center Implementation Grant Program,2026-08-21
DOE State Manufacturing Leadership Program,Department of Energy,research_funding,federal,Texas eligible,smart manufacturing state leadership,https://www.energy.gov/cmei/manufacturing/articles/us-department-energy-announces-nearly-13-million-incentivize-smart,https://www.energy.gov/cmei/manufacturing/articles/us-department-energy-announces-nearly-13-million-incentivize-smart,DOE State Manufacturing Leadership Program,2026-08-21
DOE Manufacturing Deployment Funding,Department of Energy,other,federal,Texas eligible,manufacturing deployment,https://www.energy.gov/mesc/funding,https://www.energy.gov/mesc/funding,DOE Manufacturing Deployment Office Funding,2026-08-21
DOE Infrastructure Exchange Funding Opportunities,Department of Energy,other,federal,Texas eligible,clean energy infrastructure,https://infrastructure-exchange.energy.gov/Default.aspx,https://www.energy.gov/mesc/funding,DOE Manufacturing Deployment Office Funding,2026-08-21
NSF Strategic Breakthrough Proposals,National Science Foundation,research_funding,federal,Texas eligible,technology commercialization,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
NSF SBIR/STTR Research Equipment Emphasis Area,National Science Foundation,research_funding,federal,Texas eligible,scientific equipment innovation,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF SBIR/STTR Program,2026-08-21
Department of Commerce Grants.gov Opportunity Search,Department of Commerce,other,federal,Texas eligible,federal opportunity discovery,https://www.grants.gov/search-grants.html?agencies%3DDOC%7CDepartment%20of%20Commerce,https://www.commerce.gov/work-with-us/grants-and-contract-opportunities,Department of Commerce Grants & Contract Opportunities,2026-08-21
Texas City Business Incentive Grant Program,Texas City Economic Development Corporation,grant,local,Texas City,business improvements,https://www.texascityedc.com/166/Local-State-Incentives,https://www.texascityedc.com/166/Local-State-Incentives,Texas City EDC Local & State Incentives,2026-08-21
Plano Business Attraction Retention Redevelopment and Expansion Incentives,City of Plano,economic_development_incentive,local,Plano,business development,https://www.planotexas.org/incentives,https://www.planotexas.org/incentives,Plano Economic Development Incentives,2026-08-21
Port Arthur IMPACT Incentive,Port Arthur Economic Development Corporation,economic_development_incentive,local,Port Arthur,economic development,https://portarthuredc.org/incentives/tax-incentives/,https://portarthuredc.org/incentives/tax-incentives/,Port Arthur EDC Incentives,2026-08-21
Port Arthur Tax Increment Reinvestment Zone,City of Port Arthur,economic_development_incentive,local,Port Arthur,economic development,https://www.portarthurtx.gov/585/Economic-Development-Incentives,https://www.portarthurtx.gov/585/Economic-Development-Incentives,Port Arthur Economic Development Incentives,2026-08-21
Port Arthur Neighborhood Empowerment Zone,City of Port Arthur,economic_development_incentive,local,Port Arthur,economic development,https://www.portarthurtx.gov/585/Economic-Development-Incentives,https://www.portarthurtx.gov/585/Economic-Development-Incentives,Port Arthur Economic Development Incentives,2026-08-21
Port Arthur Opportunity Zone,City of Port Arthur,tax_credit,local,Port Arthur,economic development,https://www.portarthurtx.gov/585/Economic-Development-Incentives,https://www.portarthurtx.gov/585/Economic-Development-Incentives,Port Arthur Economic Development Incentives,2026-08-21
